date,nhs_name,sgtf,other,perc,t,n
2020-10-14,South West,9,97,0.08490566037735849,14,106
2020-10-15,East of England,26,529,0.04684684684684685,15,555
2020-10-15,London,73,1253,0.05505279034690799,15,1326
2020-10-15,Midlands,22,1585,0.013690105787181083,15,1607
2020-10-15,North East and Yorkshire,59,2905,0.0199055330634278,15,2964
2020-10-15,North West,37,3160,0.011573350015639663,15,3197
2020-10-15,South East,42,478,0.08076923076923077,15,520
2020-10-15,South West,3,103,0.02830188679245283,15,106
2020-10-16,East of England,18,375,0.04580152671755725,16,393
2020-10-16,London,57,1085,0.049912434325744305,16,1142
2020-10-16,Midlands,8,773,0.010243277848911651,16,781
2020-10-16,North East and Yorkshire,35,1263,0.026964560862865947,16,1298
2020-10-16,North West,42,2740,0.01509705248023005,16,2782
2020-10-16,South East,27,437,0.05818965517241379,16,464
2020-10-16,South West,6,86,0.06521739130434782,16,92
2020-10-17,East of England,5,31,0.1388888888888889,17,36
2020-10-17,London,3,62,0.046153846153846156,17,65
2020-10-17,Midlands,14,628,0.021806853582554516,17,642
2020-10-17,North East and Yorkshire,28,1346,0.020378457059679767,17,1374
2020-10-17,North West,39,2822,0.013631597343586158,17,2861
2020-10-17,South East,2,30,0.0625,17,32
2020-10-17,South West,1,27,0.03571428571428571,17,28
2020-10-18,East of England,1,39,0.025,18,40
2020-10-18,London,2,83,0.023529411764705882,18,85
2020-10-18,Midlands,14,621,0.02204724409448819,18,635
2020-10-18,North East and Yorkshire,22,1297,0.016679302501895376,18,1319
2020-10-18,North West,41,2623,0.01539039039039039,18,2664
2020-10-18,South East,1,47,0.020833333333333332,18,48
2020-10-19,East of England,22,698,0.030555555555555555,19,720
2020-10-19,London,93,1669,0.05278093076049943,19,1762
2020-10-19,Midlands,45,2402,0.018389865140988965,19,2447
2020-10-19,North East and Yorkshire,97,4168,0.022743259085580305,19,4265
2020-10-19,North West,71,4845,0.014442636289666395,19,4916
2020-10-19,South East,42,743,0.0535031847133758,19,785
2020-10-19,South West,11,150,0.06832298136645963,19,161
2020-10-20,East of England,22,556,0.03806228373702422,20,578
2020-10-20,London,84,1647,0.04852686308492201,20,1731
2020-10-20,Midlands,35,2203,0.015638963360142984,20,2238
2020-10-20,North East and Yorkshire,92,3881,0.023156305059149257,20,3973
2020-10-20,North West,43,4222,0.010082063305978897,20,4265
