pred,t
0.010169677059299727,1
0.010926302690550357,2
0.01173855380373125,3
0.012610417050566659,4
0.013546148997166708,5
0.014550291957422891,6
0.015627690368547265,7
0.01678350765958235,8
0.018023243548544447,9
0.01935275168633733,10
0.020778257545437603,11
0.022306376428354948,12
0.023944131444754435,13
0.025698971276648327,14
0.02757878751799103,15
0.029591931338143647,16
0.03174722917785862,17
0.034053997141580916,18
0.036522053700967165,19
0.03916173027170254,20
0.04198387916920709,21
0.0449998783891176,22
0.04822163259618057,23
0.051661569641347264,24
0.05533263186269644,25
0.05924826136297622,26
0.06342237839713652,27
0.06786935194978119,28
0.07260396153809485,29
0.07764134924413876,30
0.08299696096568301,31
0.0886864758817263,32
0.09472572316284257,33
0.10113058502320042,34
0.10791688531651814,35
0.11510026302840129,36
0.12269603021829587,37
0.1307190142209248,38
0.13918338423376478,39
0.14810246279649608,40
0.15748852311088257,41
0.16735257365285325,42
0.17770413208682878,43
0.18855099109564552,44
0.19989897937324325,45
0.2117517216721234,46
0.22411040242894997,47
0.23697353808028268,48
0.2503367636929617,49
0.26419263993385966,50
0.27853048665411523,51
0.29333624942706804,52
0.30859240522400316,53
0.32427791301102593,54
0.3403682143869172,55
0.35683528845091,56
0.373647763900802,57
0.3907710899416232,58
0.4081677659757424,59
0.42579762830507933,60
0.44361819027677957,61
0.46158503052690536,62
0.47965222230905213,63
0.4977727954222491,64
0.5158992210542497,65
0.5339839089988001,66
0.551979706237363,67
0.5698403858239331,68
0.587521115379032,69
0.6049788952645386,70
0.6221729576311108,71
0.6390651189420605,72
0.6556200802050709,73
0.6718056709012248,74
0.6875930344024495,75
0.7029567544303088,76
0.7178749237565346,77
0.732329157816924,78
0.7463045571587056,79
0.7597896236371946,80
0.7727761360068097,81
0.7852589910157015,82
0.7972360163265658,83
0.8087077615731153,84
0.8196772736537588,85
0.8301498619971698,86
0.840132859046052,87
0.8496353806322617,88
0.8586680902927007,89
0.8672429709313992,90
0.8753731065946887,91
0.8830724765140288,92
0.8903557630006232,93
0.8972381742584645,94
0.9037352827246359,95
0.9098628791507672,96
0.9156368423076103,97
0.9210730239236635,98
0.9261871482547094,99
0.9309947255190496,100
0.935510978317357,101
0.9397507800804176,102
0.9437286045465406,103
0.9474584852573212,104
0.9509539840702808,105
0.9542281677148349,106
0.9572935914596468,107
0.9601622890109425,108
0.9628457678195742,109
0.9653550090368298,110
0.9677004714229833,111
0.9698920985766465,112
0.9719393289157147,113
0.97385110790111,114
0.975635902051851,115
0.9773017143537254,116
0.978856100713727,117
0.9803061871582639,118
0.981658687514943,119
0.9829199213555723,120
0.9840958320119997,121
0.9851920045067547,122
0.9862136832673817,123
0.9871657895170881,124
0.9880529382551505,125
0.988879454758664,126
0.9896493905529418,127
0.990366538811415,128
0.9910344491574661,129
0.991656441850489,130
0.9922356213467686,131
0.9927748892327359,132
0.9932769565339152,133
0.993744355407603,134
0.994179450231151,135
0.994584448100758,136
0.9949614087580568,137
0.9953122539635794,138
0.9956387763374878,139
0.9959426476888609,140
0.9962254268553724,141
0.9964885670754529,142
0.9967334229150424,143
0.9969612567708708,144
0.9971732449718494,145
0.9973704834997024,146
0.9975539933493897,147
0.9977247255492375,148
0.9978835658599842,149
0.9980313391712109,150
0.9981688136128626,151
0.9982967043987766,152
0.9984156774183542,153
0.9985263525917283,154
0.9986293070029983,155
0.9987250778253598,156
0.9988141650511979,157
0.9988970340395125,158
0.9989741178923335,159
0.9990458196711338,160
0.9991125144635881,161
0.9991745513104296,162
0.9992322550015599,163
0.9992859277500161,164
0.9993358507518697,165
0.9993822856396273,166
0.9994254758362322,167
0.9994656478163129,168
0.9995030122809023,169
0.9995377652514544,170
0.9995700890886002,171
0.9996001534407419,172
0.99962811612724,173
0.9996541239606445,174
0.9996783135121176,175
0.9997008118239324,176
0.9997217370726603,177
0.999741199186427,178
0.99975930041939,179
0.9997761358863722,180
0.9997917940603935,181
0.9998063572356587,182
0.9998199019583763,183
0.999832499427637,184
0.9998442158684115,185
0.9998551128786026,186
0.9998652477519429,187
0.9998746737784111,188
0.9998834405237277,189
0.9998915940893778,190
0.9998991773545133,191
0.9999062302009948,192
0.99991278972274,193
0.9999188904204745,194
0.9999245643828957,195
0.9999298414551974,196
0.9999347493958348,197
0.9999393140223477,198
0.9999435593470029,199
0.9999475077029673,200
0.999951179861672,201
0.9999545951419772,202
0.9999577715117144,203
0.9999607256821347,204
0.9999634731957591,205
0.9999660285080909,206
0.9999684050636183,207
0.9999706153665059,208
0.9999726710463464,209
0.999974582919316,210
0.9999763610450558,211
0.9999780147795773,212
0.999979552824469,213
0.9999809832726635,214
0.9999823136510051,215
0.9999835509598409,216
0.9999847017098433,217
0.9999857719562595,218
0.9999867673307635,219
0.999987693071084,220
0.9999885540485575,221
0.9999893547937568,222
0.9999900995203255,223
0.9999907921471467,224
0.9999914363189616,225
0.999992035425545,226
0.9999925926195399,227
0.9999931108330453,228
0.9999935927930442,229
0.999994041035751,230
0.9999944579199557,231
0.9999948456394369,232
0.9999952062345039,233
0.9999955416027322,234
0.9999958535089487,235
0.9999961435945184,236
0.9999964133859803,237
0.9999966643030811,238
0.9999968976662448,239
0.9999971147035224,240
0.9999973165570517,241
0.9999975042890705,242
0.999997678887503,243
0.9999978412711609,244
0.9999979922945766,245
0.9999981327525019,246
0.9999982633840878,247
0.9999983848767762,248
0.9999984978699161,249
0.9999986029581287,250
0.999998700694436,251
0.9999987915931713,252
0.999998876132686,253
0.9999989547578662,254
0.9999990278824746,255
0.9999990958913273,256
